trueRr,baselineRate,usageRateSlope,censorType,censorStrength,coverage,bias,meanDiagnosticEstimate,fractionFailingDiagnostic,meanExposureStabilityEstimate,fractionFailingDiagnosticAndEs,meanDiagnostic2Estimate,fractionFailingDiagnostic2
4,0.001,1e-5,First to last,Strong,0.03,-1.5850673627196183,1.7105366532853397,0.01,1.6917524829053172,0.01,0.7304813730269106,0.01282051282051282
4,0.001,1e-5,None,None,0,-1.5259535331660676,0.5816897149463428,0,1.835420377179784,0,0.60959637790614285,NA
4,0.001,-1e-5,Next week,Weak,0,-1.2110698834670843,2.4232522588035175,0.29,0.09282424717075467,0.29,0.8086562279717227,0
4,0.001,-1e-5,Next week,Strong,0,-1.2110698834670843,2.4232522588035175,0.29,0.09282424717075467,0.29,0.8086562279717227,0
4,0.001,-1e-5,Gradual,Weak,0,-1.467327464809848,1.1103567800347995,0,0.1792605809837608,0,1.045548629547154,0
4,0.001,-1e-5,Gradual,Strong,0,-1.9396614539884254,4.687848366550262,1,0.40057621014678535,1,1.475021372101797,0.03296703296703297
4,0.001,-1e-5,First to last,Weak,0,-1.3252962316764416,3.638504396826105,0.98,0.11429001998879039,0.98,0.711157412414306,0.01
4,0.001,-1e-5,First to last,Strong,0,-1.8879623570138455,17.917078322451346,1,0.28050438575920655,1,0.5741499363992599,NA
4,0.001,-1e-5,None,None,0,-1.1598982837719602,0.6908928169765208,0,0.08297313627363181,0,0.7339352447786607,NA
4,1e-4,0,Next week,Weak,0,-1.3955490304171168,2.683002908370898,0.58,1.0001049649627078,0,0.9938270415726752,0
4,1e-4,0,Next week,Strong,0,-1.3955490304171168,2.683002908370898,0.58,1.0001049649627078,0,0.9938270415726752,0
4,1e-4,0,Gradual,Weak,0,-1.3994158966075179,1.4141026657544804,0,1.0113537830709542,0,0.975391127287477,0
4,1e-4,0,Gradual,Strong,0,-1.4146426012156845,6.399289725364568,1,1.0590184648076526,0,1.00885102472093,0.01
4,1e-4,0,First to last,Weak,0,-1.414935047431289,2.072435807864091,0.06,0.9987067219873693,0,1.0019979263701957,0
4,1e-4,0,First to last,Strong,0,-1.4984333610928067,4.426116231009177,1,0.9972947792055442,0,0.5781243482337178,0.017241379310344827
4,1e-4,0,None,None,0,-1.393632549343826,0.8576269809080044,0,0.9986706990977218,0,0.5594637318175788,NA
4,1e-4,1e-5,Next week,Weak,0,-1.39928270943135,2.563720129057318,0.52,1.8613669756074716,0.52,1.0682006005294085,0
4,1e-4,1e-5,Next week,Strong,0,-1.39928270943135,2.563720129057318,0.52,1.8613669756074716,0.52,1.0682006005294085,0
4,1e-4,1e-5,Gradual,Weak,0,-1.2823052029215773,1.3884575001894959,0,1.8311364315462257,0,0.981199592114282,0
4,1e-4,1e-5,Gradual,Strong,0,-1.0718573886297789,6.5229812542587835,1,1.808245982725323,1,0.9217591277063613,0
4,1e-4,1e-5,First to last,Weak,0,-1.4325800279032224,1.8824201129687408,0.01,1.8351782992710026,0.01,1.0031676179697369,0
4,1e-4,1e-5,First to last,Strong,0,-1.5036485881851136,2.9240498713373113,0.75,1.7241220987005763,0.75,0.8081496273659982,0.010869565217391304
4,1e-4,1e-5,None,None,0,-1.4154337222890965,0.8651502221829468,0,1.8627370257160811,0,0.5871458377478274,NA
4,1e-4,-1e-5,Next week,Weak,0,-1.3787484573952151,2.7663156728004363,0.69,0.07924660798161956,0.69,0.8102262110166979,0.01
4,1e-4,-1e-5,Next week,Strong,0,-1.3787484573952151,2.7663156728004363,0.69,0.07924660798161956,0.69,0.8102262110166979,0.01
4,1e-4,-1e-5,Gradual,Weak,0,-1.6127625591774257,1.3766340109605153,0,0.14901927274355586,0,1.176949692712578,0
4,1e-4,-1e-5,Gradual,Strong,0,-2.0615897345428773,6.024069031155572,1,0.3164211585529122,1,1.3141146814999722,0.011764705882352941
4,1e-4,-1e-5,First to last,Weak,0,-1.5439251072541318,6.294136274297896,1,0.10764115686129046,1,0.636643463946099,0.08
4,1e-4,-1e-5,First to last,Strong,0,-2.2237849840535717,108.6612595837441,1,0.3148747670598663,1,0.7094677573176122,0
4,1e-4,-1e-5,None,None,0,-1.325164523946173,0.8592391041055659,0.01,0.07019465100667675,0.01,0.6128193436906036,NA
