trueRr,uniformAttributableRisk,baselineRate,usageRateSlope,censorType,censorStrength,coverage,crudeBias,meanDiagnosticRatio,fractionFailingDiagnostic,meanDiagnostic2Ratio,fractionFailingDiagnostic2,meanPreExposureRatio,fractionFailingPreExposure,meanPreExposureRr,fractionFailingPreExposureLb,fractionFailingPreExposureLb125,fractionFailingPreExposureUb,fractionFailingPreExposureUb125,fractionFailingPreExposure125,bias
2,FALSE,1e-4,0,Permanent,Weak,0,0.7115957965361334,0.6729503035575786,0.95,1.7908597560492276,0.99,1.5807939628725013e-7,0,0.0024808256727718407,0,0,1,1,1,0.7135829120601606
2,FALSE,1e-4,0,Permanent,Strong,0.26,0.42962890372822304,0.6664155112807919,0.75,1.7423025961179461,0.82,1.8784465684612076e-6,0,0.009703448095378596,0,0,1,0.99,0.99,0.4465577375195065
2,FALSE,1e-4,0,Permanent when exposed,Weak,0,2.8055999885897127,0.06018847776647409,1,0.16273973176631545,1,1.2331901607862666e-6,0,0.037297279128566285,0,0,1,1,1,2.7964823351253663
2,FALSE,1e-4,0,Permanent when exposed,Strong,0,1.5985274873524757,0.07271065428908821,1,0.21244093594539978,0.94,1.1182611579137749e-6,0,0.007722013636626693,0,0,0.91,0.65,0.65,1.6090916986215553
2,FALSE,1e-4,0,Reverse causality,Weak,0,1.1822784296215256,1.1697596684112432,0.04,2.5757328405416544,1,0.33181168741554834,0,1.8697518827131054,1,0.99,0,0,0.99,1.1802546128196165
2,FALSE,1e-4,0,Reverse causality,Strong,0,1.848864164842006,1.3870437068467816,1,3.396974872038804,1,0.37111517715791614,0,3.4535393996081427,1,1,0,0,1,1.8441174778515155
2,FALSE,1e-4,0,None,None,0.79,-0.10080950368930196,1.1906690770046298,0.05,1.7809642221231856,1,0.49251865228305136,0,0.921494597329731,0.01,0,0.11,0,0,-0.09950000612629473
2,TRUE,1e-4,1e-5,Temporary,Weak,0.85,-0.0821655248650243,0.9581337808148975,0,1.5208402740716749,0.96,0.37671199697089547,0,0.6931606321603375,0,0,0.92,0.26,0.26,-0.0820009208603548
2,TRUE,1e-4,1e-5,Temporary,Strong,0.36,-0.18921869242234388,0.7811932769313428,0.49,1.5110910265542625,0.96,0.04398618852992681,0,0.17986533122079928,0,0,1,1,1,-0.18909176312245773
2,TRUE,1e-4,1e-5,Permanent,Weak,0,1.0132442877049173,0.5577047408956056,1,1.507093479153893,0.87,3.7170419484168536e-7,0,0.005802971355266489,0,0,1,1,1,1.0143842840260806
